Tranfer Learning Trainning log
Epoch: 9	 loss: 2.3019	 accuracy: 0.10
Epoch: 10	 loss: 2.3004	 accuracy: 0.10
Epoch: 11	 loss: 2.3041	 accuracy: 0.10
Epoch: 12	 loss: 2.3006	 accuracy: 0.10
Epoch: 13	 loss: 2.3031	 accuracy: 0.10
Epoch: 14	 loss: 2.3032	 accuracy: 0.10
Epoch: 15	 loss: 2.3006	 accuracy: 0.10
Epoch: 16	 loss: 2.3039	 accuracy: 0.10
Epoch: 17	 loss: 2.3030	 accuracy: 0.10
Epoch: 18	 loss: 2.3032	 accuracy: 0.10
Epoch: 19	 loss: 2.3044	 accuracy: 0.08
Epoch: 20	 loss: 2.3017	 accuracy: 0.08
Epoch: 21	 loss: 2.3023	 accuracy: 0.08
Epoch: 22	 loss: 2.3032	 accuracy: 0.08
Epoch: 23	 loss: 2.3019	 accuracy: 0.08
Epoch: 24	 loss: 2.3027	 accuracy: 0.08
Epoch: 25	 loss: 2.3027	 accuracy: 0.08
Epoch: 26	 loss: 2.3019	 accuracy: 0.08
Epoch: 27	 loss: 2.3032	 accuracy: 0.08
Epoch: 28	 loss: 2.3035	 accuracy: 0.08
Epoch: 29	 loss: 2.3035	 accuracy: 0.08
Epoch: 30	 loss: 2.3021	 accuracy: 0.08
Epoch: 31	 loss: 2.3030	 accuracy: 0.08
Epoch: 32	 loss: 2.3024	 accuracy: 0.08
Epoch: 33	 loss: 2.3024	 accuracy: 0.08
Epoch: 34	 loss: 2.3034	 accuracy: 0.08
Epoch: 35	 loss: 2.3035	 accuracy: 0.08
Epoch: 36	 loss: 2.3026	 accuracy: 0.08
Epoch: 37	 loss: 2.3022	 accuracy: 0.08
Epoch: 38	 loss: 2.3034	 accuracy: 0.08
Epoch: 39	 loss: 2.3029	 accuracy: 0.08
Epoch: 40	 loss: 2.3021	 accuracy: 0.08
Epoch: 41	 loss: 2.3025	 accuracy: 0.08
Epoch: 42	 loss: 2.3022	 accuracy: 0.08
Epoch: 43	 loss: 2.3028	 accuracy: 0.08
Epoch: 44	 loss: 2.3029	 accuracy: 0.08
Epoch: 45	 loss: 2.3031	 accuracy: 0.08
Epoch: 46	 loss: 2.3028	 accuracy: 0.08
Epoch: 47	 loss: 2.3023	 accuracy: 0.08
Epoch: 48	 loss: 2.3016	 accuracy: 0.08
Epoch: 49	 loss: 2.3030	 accuracy: 0.08
Epoch: 50	 loss: 2.3025	 accuracy: 0.08
Epoch: 51	 loss: 2.3033	 accuracy: 0.08
Epoch: 52	 loss: 2.3022	 accuracy: 0.08
Epoch: 53	 loss: 2.3022	 accuracy: 0.08
Epoch: 54	 loss: 2.3028	 accuracy: 0.08
Epoch: 55	 loss: 2.3027	 accuracy: 0.08
Epoch: 56	 loss: 2.3021	 accuracy: 0.08
Epoch: 57	 loss: 2.3030	 accuracy: 0.08
Epoch: 58	 loss: 2.3029	 accuracy: 0.08
Epoch: 59	 loss: 2.3021	 accuracy: 0.08
Epoch: 60	 loss: 2.3030	 accuracy: 0.08
Epoch: 61	 loss: 2.3024	 accuracy: 0.08
Epoch: 62	 loss: 2.3020	 accuracy: 0.08
Epoch: 63	 loss: 2.3026	 accuracy: 0.08
